window,raw_alerts,aria_alerts,medium_tier,drain_capacity,alert_thresh,queue_size,fatigue,avg_mttr
0,46,45,0,12.23,0.55,45,0.55,7.36
1,51,51,0,12.11,0.385,83,0.551,7.43
2,48,46,2,11.8,0.437,117,0.552,7.63
3,50,50,0,11.72,0.35,155,0.554,7.68
4,39,37,1,11.56,0.413,180,0.555,7.79
5,45,45,0,11.45,0.35,213,0.557,7.86
6,54,53,0,11.35,0.35,254,0.559,7.93
7,35,33,2,11.16,0.419,276,0.562,8.07
8,39,39,0,11.07,0.35,303,0.564,8.13
9,44,44,0,10.9,0.35,336,0.567,8.26
10,40,40,0,10.87,0.35,365,0.57,8.28
11,44,44,0,10.67,0.35,398,0.573,8.44
12,39,38,0,10.61,0.35,425,0.576,8.48
13,35,35,0,10.51,0.35,449,0.579,8.56
14,44,43,1,10.41,0.35,481,0.583,8.64
15,48,47,0,10.33,0.35,517,0.586,8.71
16,45,44,1,10.16,0.35,551,0.59,8.86
17,42,42,0,9.99,0.35,583,0.595,9.01
18,50,49,0,9.8,0.35,622,0.599,9.18
19,49,49,0,9.85,0.35,661,0.604,9.13
20,56,55,0,9.78,0.35,706,0.609,9.2
21,48,48,0,9.58,0.413,744,0.614,9.4
22,41,40,0,9.49,0.35,774,0.619,9.48
23,52,50,2,9.44,0.35,815,0.625,9.53
24,44,44,0,9.32,0.413,849,0.631,9.66
25,47,47,0,9.26,0.35,886,0.637,9.72
26,34,34,0,9.11,0.35,910,0.643,9.88
27,45,45,0,9.03,0.35,945,0.649,9.97
28,44,44,0,9.0,0.35,980,0.655,10.0
29,45,45,0,8.78,0.35,1016,0.662,10.25
30,40,40,0,8.73,0.35,1047,0.669,10.3
31,42,41,0,8.75,0.35,1079,0.675,10.29
32,44,43,0,8.61,0.35,1113,0.682,10.45
33,47,47,0,8.45,0.35,1151,0.69,10.65
34,47,47,0,8.38,0.35,1189,0.697,10.74
35,44,43,1,8.34,0.35,1223,0.705,10.79
36,48,47,0,8.19,0.35,1261,0.713,10.99
37,38,38,0,8.15,0.35,1290,0.721,11.04
38,52,50,2,8.03,0.35,1332,0.729,11.21
39,46,45,0,8.08,0.408,1368,0.737,11.14
