window,raw_alerts,top_k_alerts,queue_size,fatigue,avg_mttr
0,79,45,45,0.551,15.0
1,81,45,84,0.552,15.27
2,65,45,123,0.555,15.5
3,72,45,162,0.558,15.74
4,69,45,201,0.561,15.97
5,73,45,240,0.566,16.21
6,72,45,279,0.571,16.44
7,51,45,318,0.576,16.67
8,59,45,357,0.582,16.91
9,66,45,396,0.589,17.14
10,63,45,435,0.596,17.38
11,66,45,474,0.604,17.61
12,63,45,513,0.613,17.84
13,60,45,553,0.622,18.08
14,72,45,593,0.631,18.32
15,76,45,633,0.641,18.56
16,68,45,673,0.652,18.8
17,66,45,713,0.663,19.04
18,85,45,753,0.674,19.28
19,71,45,793,0.686,19.52
20,80,45,833,0.699,19.76
21,76,45,873,0.712,20.0
22,63,45,913,0.725,20.24
23,78,45,953,0.739,20.48
24,74,45,993,0.754,20.72
25,73,45,1033,0.769,20.96
26,57,45,1073,0.784,21.2
27,75,45,1113,0.798,21.44
28,75,45,1153,0.811,21.68
29,71,45,1193,0.823,21.92
30,66,45,1233,0.835,22.16
31,62,45,1273,0.845,22.4
32,66,45,1314,0.855,22.64
33,72,45,1355,0.865,22.88
34,72,45,1396,0.874,23.13
35,73,45,1437,0.882,23.38
36,69,45,1478,0.89,23.62
37,67,45,1500,0.897,23.87
38,70,45,1500,0.903,24.0
39,73,45,1500,0.91,24.0
