window,raw_alerts,aria_alerts,medium_tier,queue_size,fatigue,avg_mttr
0,53,51,2,51,0.551,15.0
1,59,54,1,99,0.553,15.31
2,51,48,2,141,0.556,15.59
3,54,51,1,186,0.559,15.85
4,49,45,3,226,0.563,16.12
5,57,56,0,276,0.568,16.36
6,60,57,2,328,0.574,16.66
7,39,34,1,356,0.58,16.97
8,44,42,1,392,0.587,17.14
9,51,47,1,434,0.595,17.35
10,44,42,1,471,0.602,17.6
11,50,48,0,513,0.611,17.83
12,45,39,1,547,0.62,18.08
13,47,38,2,580,0.629,18.28
14,52,38,1,613,0.639,18.48
15,56,42,2,650,0.649,18.68
16,54,38,1,683,0.659,18.9
17,52,36,3,715,0.67,19.1
18,60,46,2,756,0.681,19.29
19,57,46,0,797,0.693,19.54
20,60,42,0,834,0.705,19.78
21,58,43,1,872,0.717,20.0
22,47,28,1,895,0.73,20.23
23,61,44,1,934,0.743,20.37
24,52,35,0,964,0.756,20.6
25,53,35,0,994,0.77,20.78
26,45,23,1,1012,0.783,20.96
27,50,24,1,1031,0.796,21.07
28,51,26,3,1053,0.809,21.19
29,51,29,0,1077,0.822,21.32
30,52,23,3,1096,0.833,21.46
31,46,24,0,1115,0.844,21.58
32,49,27,1,1138,0.854,21.69
33,61,28,4,1162,0.864,21.83
34,54,26,1,1184,0.873,21.97
35,51,23,2,1203,0.881,22.1
36,51,22,0,1220,0.889,22.22
37,49,25,2,1241,0.896,22.32
38,54,21,2,1258,0.903,22.45
39,57,33,1,1287,0.909,22.55
