window,raw_alerts,aria_alerts,medium_tier,drain_capacity,alert_thresh,queue_size,fatigue,avg_mttr
0,53,51,1,6.0,0.55,51,0.551,15.0
1,59,54,0,5.88,0.56,99,0.553,15.31
2,51,49,0,5.77,0.565,142,0.556,15.59
3,54,51,1,5.68,0.568,187,0.559,15.85
4,49,43,2,5.58,0.57,224,0.563,16.12
5,57,54,0,5.51,0.572,272,0.568,16.34
6,60,35,1,5.41,0.576,301,0.573,16.63
7,39,27,0,5.36,0.576,322,0.579,16.81
8,44,42,0,5.32,0.544,358,0.585,16.93
9,51,47,0,5.25,0.553,399,0.592,17.15
10,44,42,1,5.17,0.562,436,0.599,17.39
11,50,48,0,5.11,0.566,478,0.607,17.62
12,45,41,1,5.04,0.571,514,0.615,17.87
13,47,44,1,4.98,0.573,553,0.624,18.08
14,52,46,1,4.91,0.574,594,0.633,18.32
15,56,35,0,4.85,0.576,624,0.643,18.56
16,54,39,0,4.8,0.576,658,0.653,18.74
17,52,36,1,4.75,0.578,689,0.663,18.95
18,60,35,1,4.7,0.578,719,0.673,19.13
19,57,42,0,4.66,0.577,756,0.684,19.31
20,60,47,0,4.61,0.58,798,0.696,19.54
21,58,43,1,4.55,0.582,836,0.708,19.79
22,47,33,1,4.5,0.584,864,0.72,20.02
23,61,42,1,4.46,0.581,901,0.733,20.18
24,52,33,0,4.41,0.583,929,0.746,20.41
25,53,44,0,4.37,0.581,968,0.759,20.57
26,45,28,1,4.33,0.583,991,0.772,20.81
27,50,41,0,4.3,0.58,1027,0.785,20.95
28,51,35,2,4.25,0.581,1058,0.799,21.16
29,51,35,0,4.22,0.58,1088,0.812,21.35
30,52,41,2,4.18,0.578,1125,0.825,21.53
31,46,35,0,4.14,0.581,1155,0.836,21.75
32,49,36,0,4.1,0.579,1186,0.847,21.93
33,61,43,2,4.07,0.578,1225,0.857,22.12
34,54,36,0,4.03,0.581,1256,0.866,22.35
35,51,34,1,3.99,0.579,1286,0.875,22.54
36,51,40,0,3.96,0.578,1322,0.883,22.72
37,49,34,1,3.92,0.58,1352,0.89,22.93
38,54,33,2,3.89,0.579,1381,0.898,23.11
39,57,47,1,3.86,0.578,1424,0.904,23.29
