window,raw_alerts,aria_alerts,medium_tier,drain_capacity,alert_thresh,queue_size,fatigue,avg_mttr
0,46,45,0,12.36,0.55,45,0.55,7.28
1,51,43,0,12.13,0.582,75,0.551,7.42
2,48,26,2,12.12,0.599,89,0.552,7.42
3,50,18,0,12.23,0.611,94,0.553,7.36
4,39,16,1,12.39,0.619,97,0.553,7.26
5,45,8,0,12.12,0.631,92,0.554,7.43
6,54,13,0,12.27,0.633,92,0.555,7.34
7,35,6,2,12.09,0.635,86,0.555,7.44
8,39,11,0,12.31,0.636,84,0.556,7.31
9,44,17,0,12.17,0.637,88,0.556,7.4
10,40,3,0,12.5,0.646,78,0.556,7.2
11,44,4,0,12.76,0.644,69,0.557,7.05
12,39,3,1,12.32,0.648,59,0.557,7.3
13,35,4,0,12.27,0.645,50,0.557,7.33
14,44,1,1,13.12,0.649,38,0.557,6.86
15,48,1,0,11.05,0.646,27,0.557,8.15
16,45,4,1,12.96,0.644,18,0.556,6.95
17,42,3,0,12.38,0.648,8,0.556,7.27
18,50,6,0,12.14,0.645,6,0.556,7.41
19,49,1,0,12.81,0.649,1,0.555,7.03
20,56,2,0,12.72,0.646,2,0.555,7.07
21,48,4,0,12.92,0.643,4,0.555,6.96
22,41,2,0,12.82,0.648,2,0.554,7.02
23,52,5,2,12.68,0.645,5,0.554,7.1
24,44,1,0,12.3,0.649,1,0.554,7.32
25,47,0,0,6.0,0.646,0,0.554,15.0
26,34,2,0,13.38,0.643,2,0.553,6.73
27,45,3,0,12.56,0.642,3,0.553,7.16
28,44,2,0,13.36,0.641,2,0.553,6.74
29,45,3,0,12.93,0.64,3,0.553,6.96
30,40,0,0,6.0,0.639,0,0.553,15.0
31,42,0,0,6.0,0.639,0,0.553,15.0
32,44,2,0,12.41,0.639,2,0.552,7.25
33,47,4,0,12.91,0.639,4,0.552,6.97
34,47,3,0,12.06,0.639,3,0.552,7.46
35,44,4,1,12.48,0.639,4,0.552,7.21
36,48,2,0,12.31,0.644,2,0.552,7.31
37,38,4,0,13.08,0.643,4,0.552,6.88
38,52,4,2,13.08,0.647,4,0.552,6.88
39,46,4,0,13.02,0.65,4,0.552,6.91
