window,raw_alerts,rrs_alerts,high_tier,medium_tier,queue_size,fatigue,avg_mttr
0,170,46,46,0,46,0.55,7.97
1,162,49,49,0,83,0.551,8.11
2,162,47,47,0,118,0.552,8.16
3,162,55,55,0,162,0.554,8.39
4,158,39,39,0,190,0.556,8.44
5,146,52,52,0,231,0.558,8.56
6,173,55,55,0,275,0.561,8.74
7,144,41,41,0,305,0.564,8.86
8,160,38,38,0,332,0.567,8.97
9,193,47,47,0,369,0.57,9.15
10,154,39,39,0,398,0.573,9.27
11,187,50,50,0,438,0.577,9.19
12,168,41,41,0,469,0.581,9.29
13,148,38,38,0,497,0.585,9.39
14,159,46,46,1,533,0.589,9.49
15,154,54,54,0,577,0.594,9.77
16,168,42,42,0,609,0.599,9.78
17,159,47,47,0,646,0.604,9.87
18,172,44,44,0,681,0.609,10.0
19,163,51,51,0,723,0.615,10.15
20,177,60,60,1,774,0.621,10.27
21,152,47,47,0,812,0.628,10.41
22,159,40,40,0,843,0.634,10.51
23,148,51,51,0,885,0.641,10.68
24,160,46,46,0,922,0.648,10.87
25,173,51,51,0,964,0.655,10.9
26,158,39,39,0,994,0.663,11.13
27,154,47,47,0,1032,0.67,11.1
28,162,47,47,0,1070,0.678,11.19
29,153,45,45,0,1107,0.686,11.33
30,158,46,46,0,1145,0.694,11.49
31,145,42,42,0,1179,0.703,11.65
32,172,47,47,1,1218,0.712,11.83
33,158,45,45,0,1255,0.721,11.92
34,169,47,47,1,1294,0.73,11.94
35,171,47,47,0,1333,0.739,12.1
36,157,43,43,0,1368,0.748,12.14
37,148,44,44,0,1404,0.758,12.25
38,177,47,47,0,1443,0.768,12.47
39,169,48,48,0,1483,0.778,12.68
