window,raw_alerts,top_k_alerts,queue_size,fatigue,avg_mttr
0,79,7,7,0.55,15.0
1,81,7,8,0.55,15.04
2,65,7,9,0.55,15.05
3,72,7,10,0.551,15.05
4,69,7,11,0.551,15.06
5,73,7,12,0.551,15.07
6,72,7,13,0.551,15.07
7,51,7,14,0.551,15.08
8,59,7,15,0.552,15.08
9,66,7,16,0.552,15.09
10,63,7,17,0.552,15.1
11,66,7,18,0.552,15.1
12,63,7,19,0.552,15.11
13,60,7,20,0.553,15.11
14,72,7,21,0.553,15.12
15,76,7,22,0.553,15.13
16,68,7,23,0.553,15.13
17,66,7,24,0.554,15.14
18,85,7,25,0.554,15.14
19,71,7,26,0.554,15.15
20,80,7,27,0.554,15.16
21,76,7,28,0.555,15.16
22,63,7,29,0.555,15.17
23,78,7,30,0.555,15.17
24,74,7,31,0.556,15.18
25,73,7,32,0.556,15.19
26,57,7,33,0.556,15.19
27,75,7,34,0.556,15.2
28,75,7,35,0.557,15.2
29,71,7,36,0.557,15.21
30,66,7,37,0.557,15.22
31,62,7,38,0.557,15.22
32,66,7,39,0.558,15.23
33,72,7,40,0.558,15.23
34,72,7,41,0.558,15.24
35,73,7,42,0.559,15.25
36,69,7,43,0.559,15.25
37,67,7,44,0.559,15.26
38,70,7,45,0.56,15.26
39,73,7,46,0.56,15.27
