test_idx,nn_distance,shap_cosine_sim,lime_cosine_sim,shap_top6_overlap,shap_sign_agreement,shap_rank_corr
35944,1.1145,0.9962,0.9203,0.8333,0.9444,0.9248
3030,0.0334,0.9982,0.9091,0.8333,0.8889,0.9233
39232,1.8284,0.9822,0.8311,1.0,0.9412,0.9654
10488,0.0461,0.9993,0.9264,1.0,0.8889,0.9579
28614,0.0031,0.9974,0.9683,1.0,1.0,0.9805
32959,0.0,0.9987,0.9213,1.0,1.0,0.9639
5634,0.0008,0.9988,0.9124,0.8333,0.8947,0.9023
17891,1.0422,0.9955,0.8276,1.0,0.8333,0.994
8078,0.001,0.9983,0.9705,0.8333,0.8333,0.7985
38910,0.6422,0.9901,0.4782,0.8333,0.9474,0.9489
34297,0.2809,0.9955,0.9455,1.0,0.8333,0.9639
4127,0.001,0.9975,0.9576,1.0,0.8421,0.9684
7211,0.0,0.9988,0.887,0.8333,1.0,0.9368
16496,0.0373,0.9993,0.9412,0.8333,1.0,0.9459
21978,0.052,0.9953,0.9435,1.0,0.9444,0.985
17628,0.0006,0.9989,0.9049,0.8333,0.9474,0.9053
38775,0.0009,0.9984,0.934,0.8333,0.8421,0.9143
27087,0.0001,0.9991,0.9628,0.8333,0.9474,0.9789
21838,0.7301,0.9973,0.9486,1.0,0.9444,0.9609
6790,0.0277,0.9983,0.9823,1.0,1.0,0.9805
27660,0.7883,0.999,0.9275,0.8333,0.8889,0.9293
12742,0.0863,0.9988,0.9633,0.8333,0.8947,0.8992
7718,0.0278,0.9986,0.9181,0.8333,0.9474,0.9714
5912,0.0028,0.9976,0.9756,1.0,1.0,0.9865
24521,0.043,0.9973,0.9381,1.0,0.8947,0.8677
22177,0.003,0.9983,0.9175,1.0,0.95,0.9774
7466,0.0009,0.9992,0.9422,0.8333,0.8947,0.9398
31683,0.0,0.9952,0.9788,1.0,1.0,0.9143
24575,0.6377,0.9873,0.9769,0.8333,0.8333,0.9038
9159,0.0335,0.9976,0.9392,1.0,1.0,0.982
34499,0.331,0.3477,0.9705,0.3333,0.9,0.6586
3879,0.4524,0.9907,0.8315,1.0,0.8889,0.9835
10953,0.2867,0.9985,0.9763,0.8333,0.8421,0.9774
14808,2.2368,0.2214,0.884,0.6667,0.8333,0.7774
8420,0.0191,0.9992,0.9399,1.0,1.0,0.9068
33970,0.0009,0.9993,0.9356,0.8333,0.9444,0.9188
26882,0.0003,0.9999,0.9734,0.8333,0.8889,0.9594
22292,0.0002,0.9995,0.961,1.0,0.9474,0.9444
11732,1.2361,0.9952,0.8048,1.0,0.8824,0.988
26650,0.0028,0.998,0.962,1.0,1.0,0.982
8356,1.1328,0.9807,0.4428,0.8333,0.8421,0.9594
19287,0.0505,0.9891,0.9067,1.0,0.8889,0.9579
7807,0.0003,0.999,0.9257,0.8333,0.8947,0.9654
20436,0.0001,0.9938,0.935,0.8333,0.8889,0.9353
37775,0.0001,0.9985,0.9753,0.8333,0.9474,0.9338
20361,0.0001,0.996,0.8981,1.0,0.9474,0.9669
5045,0.1506,0.9971,0.9568,1.0,0.8889,0.982
9907,0.0306,0.9988,0.9416,1.0,0.9444,0.9579
17118,0.0356,0.998,0.9441,0.8333,0.8889,0.9143
8045,0.0331,0.9988,0.9494,0.8333,0.9474,0.9263
15548,0.0,0.9992,0.9526,0.8333,0.9444,0.9774
2439,4.9871,0.9965,0.1448,1.0,0.8889,0.9338
25194,0.036,0.9991,0.9179,1.0,0.8889,0.9579
34645,0.0003,0.9986,0.9625,0.8333,0.9474,0.9459
30623,0.8375,0.9964,0.9479,0.8333,0.8889,0.9744
32684,0.0,0.999,0.938,1.0,0.95,0.9308
1424,0.0008,0.9992,0.9212,0.8333,0.8947,0.8451
12524,0.171,0.9982,0.926,0.8333,0.9474,0.8992
16981,0.0215,0.9988,0.9694,0.8333,0.9444,0.9759
39923,0.0009,0.9974,0.9444,1.0,0.8333,0.9489
8553,0.0001,0.9993,0.9671,0.8333,0.9444,0.9549
38484,11.4008,0.9979,0.0,0.8333,0.8947,0.9218
