bin_lo,bin_hi,n,mean_confidence,empirical_accuracy
0.0,0.1,37883,0.00384308875512447,0.005939339545442547
0.1,0.2,162,0.13328954388058764,0.024691358024691357
0.2,0.30000000000000004,88,0.24935398557739982,0.07954545454545454
0.30000000000000004,0.4,55,0.34404474219035025,0.07272727272727272
0.4,0.5,21,0.4495888601553166,0.23809523809523808
0.5,0.6000000000000001,16,0.5471892713566506,0.4375
0.6000000000000001,0.7000000000000001,10,0.6392052403705291,0.6
0.7000000000000001,0.8,6,0.7577398658136909,0.16666666666666666
0.8,0.9,7,0.8447779601426023,0.5714285714285714
0.9,1.0,1752,0.9988323628690401,0.9914383561643836
