bin_lo,bin_hi,n,mean_confidence,empirical_accuracy
0.0,0.1,34042,0.007023059723580811,0.005640091651489336
0.1,0.2,1303,0.14270940118304468,0.0015349194167306216
0.2,0.30000000000000004,940,0.25244009118252475,0.009574468085106383
0.30000000000000004,0.4,1011,0.35663253289093105,0.013847675568743818
0.4,0.5,363,0.4569284091748861,0.011019283746556474
0.5,0.6000000000000001,253,0.544069582860288,0.015810276679841896
0.6000000000000001,0.7000000000000001,96,0.6447757754068596,0.03125
0.7000000000000001,0.8,79,0.7569648500476184,0.02531645569620253
0.8,0.9,105,0.8516883725847979,0.09523809523809523
0.9,1.0,1808,0.9981837229276614,0.9734513274336283
