window,raw_alerts,rrs_alerts,high_tier,medium_tier,queue_size,fatigue,avg_mttr
0,56,45,45,0,45,0.55,7.25
1,70,51,51,0,83,0.551,7.38
2,58,44,44,4,115,0.552,7.49
3,65,50,50,0,153,0.554,7.58
4,53,37,37,1,178,0.555,7.69
5,61,45,45,0,211,0.557,7.77
6,63,53,53,0,252,0.559,7.86
7,47,33,33,2,274,0.561,7.98
8,50,38,39,0,301,0.564,8.04
9,54,44,44,0,333,0.566,8.12
10,54,40,40,0,362,0.569,8.22
11,58,44,44,0,395,0.572,8.3
12,49,38,38,1,422,0.575,8.4
13,51,35,35,0,446,0.579,8.47
14,60,43,43,1,478,0.582,8.54
15,62,47,47,0,514,0.586,8.64
16,54,44,44,1,547,0.59,8.74
17,56,42,42,0,578,0.594,8.84
18,63,47,49,0,616,0.598,8.93
19,63,49,49,0,655,0.603,9.04
20,68,55,55,0,700,0.607,9.15
21,65,48,48,0,738,0.613,9.28
22,56,40,40,0,768,0.618,9.39
23,66,50,50,2,809,0.624,9.48
24,57,44,44,0,843,0.629,9.6
25,64,47,47,0,880,0.635,9.69
26,47,34,34,0,904,0.641,9.8
27,62,43,45,0,939,0.647,9.87
28,64,42,44,0,973,0.654,9.97
29,55,37,44,1,1008,0.66,10.07
30,52,28,40,0,1039,0.667,10.17
31,56,33,41,0,1071,0.673,10.26
32,63,36,43,0,1105,0.68,10.36
33,65,36,47,0,1143,0.687,10.45
34,57,43,47,0,1181,0.695,10.56
35,58,36,43,1,1215,0.702,10.67
36,62,32,47,0,1253,0.71,10.77
37,56,29,38,0,1282,0.717,10.88
38,63,37,50,2,1324,0.725,10.97
39,58,36,45,0,1360,0.734,11.09
