window,raw_alerts,rrs_alerts,high_tier,medium_tier,queue_size,fatigue,avg_mttr
0,56,45,45,0,45,0.55,7.31
1,70,51,51,0,83,0.551,7.37
2,58,44,44,4,115,0.552,7.49
3,65,50,50,0,153,0.554,7.58
4,53,37,37,1,178,0.555,7.68
5,61,45,45,0,211,0.557,7.73
6,63,53,53,0,252,0.559,7.92
7,47,33,33,2,274,0.561,7.99
8,50,38,39,0,301,0.564,8.05
9,54,44,44,0,333,0.566,8.16
10,54,40,40,0,361,0.569,8.18
11,58,44,44,0,394,0.572,8.29
12,49,38,38,1,421,0.575,8.39
13,51,35,35,0,445,0.579,8.51
14,60,43,43,1,477,0.582,8.55
15,62,47,47,0,513,0.586,8.67
16,54,44,44,1,546,0.59,8.75
17,56,42,42,0,577,0.594,8.85
18,63,47,49,0,615,0.598,8.95
19,63,49,49,0,653,0.602,8.98
20,68,55,55,0,698,0.607,9.13
21,65,48,48,0,736,0.612,9.26
22,56,40,40,0,766,0.618,9.37
23,66,50,50,2,806,0.623,9.47
24,57,44,44,0,840,0.629,9.6
25,64,47,47,0,877,0.635,9.64
26,47,34,34,0,901,0.641,9.83
27,62,45,45,0,936,0.647,9.95
28,64,42,44,0,970,0.653,9.88
29,55,37,44,1,1005,0.66,10.09
30,52,28,40,0,1036,0.666,10.15
31,56,33,41,0,1068,0.673,10.11
32,63,36,43,0,1102,0.68,10.31
33,65,36,47,0,1140,0.687,10.46
34,57,43,47,0,1178,0.694,10.55
35,58,36,43,1,1212,0.701,10.68
36,62,32,47,0,1250,0.709,10.84
37,56,29,38,0,1279,0.717,10.82
38,63,37,50,2,1321,0.725,11.02
39,58,36,45,0,1357,0.733,10.97
