window,raw_alerts,rrs_alerts,high_tier,medium_tier,queue_size,fatigue,avg_mttr
0,56,45,45,0,45,0.551,14.76
1,70,51,51,0,90,0.553,15.05
2,58,44,44,4,129,0.555,15.54
3,65,50,50,0,173,0.558,15.77
4,53,37,37,1,204,0.562,16.04
5,61,45,45,0,243,0.566,16.22
6,63,53,53,0,290,0.571,16.46
7,47,33,33,2,318,0.577,16.74
8,50,38,39,0,351,0.583,16.58
9,54,44,44,0,389,0.589,16.25
10,54,40,40,0,423,0.596,17.02
11,58,44,44,0,461,0.603,17.25
12,49,38,38,1,494,0.611,17.77
13,51,35,35,0,523,0.619,17.96
14,60,43,43,1,561,0.628,18.14
15,62,47,47,0,603,0.637,18.37
16,54,43,44,1,642,0.647,18.3
17,56,42,42,0,679,0.657,18.85
18,63,47,49,0,723,0.668,18.78
19,63,49,49,0,767,0.679,19.05
20,68,46,55,0,817,0.692,19.6
21,65,42,48,0,860,0.705,19.9
22,56,34,40,0,895,0.718,20.16
23,66,46,50,2,941,0.732,20.37
24,57,40,44,0,980,0.747,20.65
25,64,41,47,0,1022,0.762,20.88
26,47,31,34,0,1051,0.777,21.13
27,62,38,45,0,1091,0.791,20.89
28,64,39,44,0,1130,0.805,21.55
29,55,38,44,1,1170,0.817,21.78
30,52,29,40,0,1205,0.829,22.02
31,56,34,41,0,1241,0.84,22.23
32,63,33,43,0,1279,0.851,22.45
33,65,30,47,0,1322,0.86,22.67
34,57,31,47,0,1364,0.87,22.39
35,58,27,43,1,1403,0.878,22.55
36,62,30,47,0,1446,0.886,23.42
37,56,25,38,0,1480,0.893,23.68
38,63,27,50,2,1500,0.9,23.23
39,58,25,45,0,1500,0.907,22.59
