window,raw_alerts,rrs_alerts,medium_tier,queue_size,fatigue,avg_mttr
0,56,45,0,45,0.551,14.76
1,70,51,0,90,0.553,15.05
2,58,44,4,129,0.555,15.54
3,65,50,0,173,0.558,15.77
4,53,37,1,204,0.562,16.04
5,61,45,0,243,0.566,16.22
6,63,53,0,290,0.571,16.46
7,47,33,2,318,0.577,16.74
8,50,38,0,350,0.583,16.58
9,54,44,0,388,0.589,16.24
10,54,40,0,422,0.596,17.01
11,58,44,0,460,0.603,17.24
12,49,38,1,493,0.611,17.76
13,51,35,0,522,0.619,17.96
14,60,43,1,560,0.628,18.13
15,62,47,0,602,0.637,18.36
16,54,44,1,641,0.647,18.3
17,56,41,0,677,0.657,18.85
18,63,47,0,719,0.668,18.76
19,63,49,0,763,0.679,19.02
20,68,46,0,804,0.691,19.58
21,65,42,0,841,0.703,19.82
22,56,33,0,869,0.716,20.05
23,66,47,2,912,0.729,20.21
24,57,40,0,947,0.743,20.47
25,64,42,0,984,0.757,20.68
26,47,30,0,1009,0.771,20.9
27,62,36,0,1040,0.784,20.63
28,64,37,0,1072,0.798,21.24
29,55,37,1,1105,0.811,21.43
30,52,26,0,1126,0.824,21.63
31,56,25,0,1146,0.835,21.76
32,63,30,0,1171,0.846,21.88
33,65,29,0,1195,0.856,22.03
34,57,34,0,1224,0.865,21.69
35,58,30,1,1250,0.874,21.8
36,62,31,0,1277,0.882,22.5
37,56,29,0,1302,0.89,22.66
38,63,28,2,1326,0.897,22.21
39,58,31,0,1352,0.904,21.87
