window,raw_alerts,escalated,queue_size,fatigue,avg_mttr
0,46,37,37,0.551,15.0
1,51,37,68,0.552,15.22
2,48,37,99,0.554,15.41
3,50,37,130,0.556,15.59
4,39,37,161,0.559,15.78
5,45,37,192,0.563,15.97
6,54,37,223,0.566,16.15
7,35,37,254,0.571,15.69
8,39,37,285,0.575,16.52
9,44,37,316,0.58,16.38
10,40,37,347,0.586,16.9
11,44,37,378,0.592,17.08
12,39,37,409,0.599,17.27
13,35,37,440,0.605,16.76
14,44,37,471,0.612,17.64
15,48,37,502,0.62,17.83
16,45,37,534,0.628,18.01
17,42,37,566,0.636,18.2
18,50,37,598,0.645,18.4
19,49,37,630,0.654,18.59
20,56,37,662,0.663,18.78
21,48,37,694,0.673,18.97
22,41,37,726,0.683,19.16
23,52,37,758,0.694,19.36
24,44,37,790,0.704,19.55
25,47,37,822,0.715,19.74
26,34,37,854,0.725,18.75
27,45,37,886,0.737,20.12
28,44,37,918,0.749,20.32
29,45,37,950,0.762,20.51
30,40,37,982,0.774,20.7
31,42,37,1014,0.787,20.89
32,44,37,1046,0.801,21.08
33,47,37,1078,0.813,21.28
34,47,37,1110,0.826,21.47
35,44,37,1142,0.837,21.66
36,48,37,1174,0.848,21.85
37,38,37,1206,0.857,22.04
38,52,37,1238,0.867,22.24
39,46,37,1270,0.875,22.43
