seed,baseline_final_fatigue,aria_final_fatigue,baseline_avg_mttr,aria_avg_mttr,baseline_max_queue,aria_max_queue,baseline_attacks_detected,aria_attacks_detected,b_aria_only,c_baseline_only
0,0.9096921793950723,0.7398554226656001,19.643099999999997,9.303021760656549,1500,1351,1656,1725,82,13
1,0.9096921793950723,0.7548826128256039,19.643099999999997,9.420354898766888,1500,1423,1720,1787,68,1
2,0.9096921793950723,0.7278948050136484,19.643099999999997,9.17974490397109,1500,1323,1648,1700,72,20
3,0.9096921793950723,0.7502319514571908,19.643099999999997,9.403001730891406,1500,1408,1689,1772,97,14
4,0.9096921793950723,0.7383811117866167,19.643099999999997,9.260461674985882,1500,1379,1687,1752,81,16
5,0.9096921793950723,0.7332704527473425,19.643099999999997,9.23532097263363,1500,1340,1661,1712,64,13
6,0.9096921793950723,0.7301033559619258,19.643099999999997,9.21432903676007,1500,1322,1643,1689,65,19
7,0.9096921793950723,0.7357052987029059,19.643099999999997,9.259865958255249,1500,1342,1690,1716,38,12
8,0.9096921793950723,0.7468709188532779,19.643099999999997,9.34890502618692,1500,1423,1708,1789,88,7
9,0.9096921793950723,0.7295428848385505,19.643099999999997,9.177878385826286,1500,1340,1669,1731,81,19
10,0.9096921793950723,0.7461643955013524,19.643099999999997,9.33340283573797,1500,1417,1682,1783,115,14
11,0.9096921793950723,0.7410600265982501,19.643099999999997,9.27881984660238,1500,1399,1702,1774,80,8
12,0.9096921793950723,0.7362629350729282,19.643099999999997,9.275736855787333,1500,1341,1660,1704,52,8
13,0.9096921793950723,0.7451553437193433,19.643099999999997,9.306821396374602,1500,1410,1697,1789,104,12
14,0.9096921793950723,0.7374817927636679,19.643099999999997,9.263510335488572,1500,1373,1680,1741,75,14
15,0.9096921793950723,0.7416778233907059,19.643099999999997,9.304354716147364,1500,1381,1681,1754,88,15
16,0.9096921793950723,0.7475072244859432,19.643099999999997,9.379863477638859,1500,1415,1695,1782,99,12
17,0.9096921793950723,0.736564788229636,19.643099999999997,9.234390652934078,1500,1357,1690,1734,54,10
18,0.9096921793950723,0.7379653821794094,19.643099999999997,9.284116741482094,1500,1359,1677,1739,73,11
19,0.9096921793950723,0.7470743388075369,19.643099999999997,9.355016179247169,1500,1408,1697,1781,94,10
20,0.9096921793950723,0.7262118959557933,19.643099999999997,9.165768507458887,1500,1324,1657,1708,65,14
21,0.9096921793950723,0.7497247785527038,19.643099999999997,9.3755592419208,1500,1431,1713,1803,103,13
22,0.9096921793950723,0.7550300316037081,19.643099999999997,9.42373977860036,1500,1447,1693,1809,127,11
23,0.9096921793950723,0.731724184950395,19.643099999999997,9.211397296364897,1500,1360,1666,1730,84,20
24,0.9096921793950723,0.7339246417952848,19.643099999999997,9.200555356644358,1500,1343,1673,1727,68,14
25,0.9096921793950723,0.7412883410372085,19.643099999999997,9.289123954433506,1500,1376,1665,1748,96,13
26,0.9096921793950723,0.7513612083375556,19.643099999999997,9.361753294101899,1500,1432,1697,1808,119,8
27,0.9096921793950723,0.7289944815176013,19.643099999999997,9.195607201716665,1500,1327,1662,1707,63,18
28,0.9096921793950723,0.72227100745263,19.643099999999997,9.123017194466597,1500,1288,1657,1677,35,15
29,0.9096921793950723,0.7332932273558598,19.643099999999997,9.25495588768527,1500,1324,1652,1692,54,14
