window,threshold,high_cutoff,med_cutoff,raw_alerts,rrs_alerts,high_tier,medium_tier,queue_size,fatigue,avg_mttr,rrs_mean
0,0.55,0.15,0.02,56,45,45,0,45,0.55,7.24,0.024
1,0.551,0.15,0.02,70,51,51,0,83,0.551,7.29,0.026
2,0.553,0.151,0.021,58,44,44,4,115,0.552,7.34,0.023
3,0.554,0.151,0.021,65,50,50,0,152,0.554,7.5,0.026
4,0.555,0.151,0.021,53,37,37,1,177,0.555,7.6,0.018
5,0.556,0.151,0.021,61,45,45,0,210,0.557,7.67,0.023
6,0.557,0.151,0.021,63,53,53,0,251,0.559,7.81,0.028
7,0.558,0.152,0.022,47,33,33,2,273,0.561,7.88,0.015
8,0.559,0.152,0.022,50,38,39,0,300,0.564,7.98,0.019
9,0.56,0.152,0.022,54,44,44,0,332,0.566,8.11,0.023
10,0.561,0.152,0.022,54,40,40,0,360,0.569,8.1,0.02
11,0.562,0.152,0.022,58,44,44,0,392,0.572,8.15,0.022
12,0.563,0.153,0.023,49,38,38,1,419,0.575,8.31,0.019
13,0.564,0.153,0.023,51,35,35,0,443,0.578,8.39,0.016
14,0.565,0.153,0.023,60,43,43,1,475,0.582,8.49,0.021
15,0.566,0.153,0.023,62,47,47,0,511,0.585,8.61,0.024
16,0.567,0.153,0.023,54,44,44,1,544,0.589,8.67,0.023
17,0.568,0.154,0.024,56,42,42,0,575,0.593,8.76,0.021
18,0.569,0.154,0.024,63,47,49,0,613,0.597,8.82,0.026
19,0.57,0.154,0.024,63,49,49,0,651,0.602,8.88,0.025
20,0.572,0.154,0.024,68,55,55,0,696,0.607,9.03,0.029
21,0.573,0.155,0.025,65,48,48,0,734,0.612,9.18,0.025
22,0.574,0.155,0.025,56,40,40,0,764,0.617,9.32,0.019
23,0.575,0.155,0.025,66,50,50,2,804,0.622,9.38,0.026
24,0.577,0.155,0.025,57,44,44,0,838,0.628,9.48,0.022
25,0.578,0.156,0.026,64,47,47,0,875,0.634,9.49,0.023
26,0.579,0.156,0.026,47,34,34,0,899,0.64,9.74,0.016
27,0.58,0.156,0.026,62,45,45,0,934,0.646,9.84,0.023
28,0.581,0.156,0.026,64,44,44,0,968,0.652,9.83,0.022
29,0.582,0.156,0.026,55,44,44,1,1003,0.658,9.97,0.023
30,0.583,0.157,0.027,52,39,40,0,1034,0.665,10.09,0.02
31,0.584,0.157,0.027,56,41,41,0,1066,0.671,10.03,0.02
32,0.586,0.157,0.027,63,41,43,0,1100,0.678,10.17,0.021
33,0.587,0.157,0.027,65,45,47,0,1138,0.685,10.26,0.023
34,0.588,0.158,0.028,57,47,47,0,1176,0.692,10.48,0.024
35,0.589,0.158,0.028,58,36,43,1,1210,0.699,10.56,0.022
36,0.59,0.158,0.028,62,33,47,0,1248,0.707,10.7,0.023
37,0.592,0.158,0.028,56,30,38,0,1277,0.715,10.76,0.018
38,0.593,0.159,0.029,63,38,50,2,1319,0.723,10.89,0.026
39,0.594,0.159,0.029,58,37,45,0,1355,0.731,10.86,0.023
