run_id,variant,w_conf,w_shap,w_agreement,f1,precision,recall,alert_rate,separation,stability,corr_conf_rrs,top_k_precision,recall_at_k
2026-07-19_17-42-35,A — Conf only,1.0,0.0,0.0,0.9128,0.9368,0.89,0.095,0.8692,0.2836,1.0,1.0,0.37
2026-07-19_17-42-35,B — Conf + SHAP,0.55,0.45,0.0,0.1821,0.1002,1.0,0.998,0.3919,0.1354,0.4005,0.9459,0.35
2026-07-19_17-42-35,C — Conf + Agreement,0.6,0.0,0.4,0.8318,0.7807,0.89,0.114,0.535,0.1778,0.2678,0.973,0.36
2026-07-19_17-42-35,D — Full RRS,0.45,0.4,0.15,0.1818,0.1,1.0,1.0,0.3196,0.1126,0.4019,0.9459,0.35
2026-07-19_17-46-56,A — Conf only,1.0,0.0,0.0,0.9206,0.9775,0.87,0.089,0.8692,0.2836,1.0,1.0,0.37
2026-07-19_17-46-56,B — Conf + SHAP,0.55,0.45,0.0,0.9206,0.9775,0.87,0.089,0.3919,0.1354,0.4005,0.9459,0.35
2026-07-19_17-46-56,C — Conf + Agreement,0.6,0.0,0.4,0.9206,0.9775,0.87,0.089,0.535,0.1778,0.2678,0.973,0.36
2026-07-19_17-46-56,D — Full RRS,0.45,0.4,0.15,0.9149,0.9773,0.86,0.088,0.3196,0.1126,0.4019,0.9459,0.35
2026-07-19_17-49-50,A — Conf only,1.0,0.0,0.0,0.9206,0.9775,0.87,0.089,0.8692,0.2836,1.0,1.0,0.37
2026-07-19_17-49-50,B — Conf + SHAP,0.55,0.45,0.0,0.9149,0.9773,0.86,0.088,0.3919,0.1354,0.4005,0.9459,0.35
2026-07-19_17-49-50,C — Conf + Agreement,0.6,0.0,0.4,0.9206,0.9775,0.87,0.089,0.535,0.1778,0.2678,0.973,0.36
2026-07-19_17-49-50,D — Full RRS,0.45,0.4,0.15,0.6309,0.9592,0.47,0.049,0.3196,0.1126,0.4019,0.9459,0.35
2026-07-19_17-54-59,A — Conf only,1.0,0.0,0.0,0.9206,0.9775,0.87,0.089,0.8692,0.2836,1.0,1.0,0.37
2026-07-19_17-54-59,B — Conf + SHAP,0.8,0.2,0.0,0.9206,0.9775,0.87,0.089,0.6571,0.2152,0.4515,0.973,0.36
2026-07-19_17-54-59,C — Conf + Agreement,0.8,0.0,0.2,0.9206,0.9775,0.87,0.089,0.7021,0.2299,0.3308,0.973,0.36
2026-07-19_17-54-59,D — Full RRS,0.7,0.15,0.15,0.9206,0.9775,0.87,0.089,0.5848,0.1919,0.4324,0.973,0.36
2026-07-19_20-19-19,A — Conf only,1.0,0.0,0.0,0.9206,0.9775,0.87,0.089,0.8692,0.2836,1.0,1.0,0.37
2026-07-19_20-19-19,B — Conf + SHAP,0.55,0.45,0.0,0.9149,0.9773,0.86,0.088,0.3919,0.1354,0.4005,0.9459,0.35
2026-07-19_20-19-19,C — Conf + Agreement,0.6,0.0,0.4,0.9206,0.9775,0.87,0.089,0.535,0.1778,0.2678,0.973,0.36
2026-07-19_20-19-19,D — Full RRS,0.45,0.4,0.15,0.6309,0.9592,0.47,0.049,0.3196,0.1126,0.4019,0.9459,0.35
2026-07-27_11-13-45,A — Conf only,1.0,0.0,0.0,0.9206,0.9775,0.87,0.089,0.8692,0.2836,1.0,1.0,0.37
2026-07-27_11-13-45,B — Conf + SHAP,0.55,0.45,0.0,0.9149,0.9773,0.86,0.088,0.3919,0.1354,0.4005,0.9459,0.35
2026-07-27_11-13-45,C — Conf + Agreement,0.6,0.0,0.4,0.9206,0.9775,0.87,0.089,0.535,0.1778,0.2678,0.973,0.36
2026-07-27_11-13-45,D — Full RRS,0.45,0.4,0.15,0.6309,0.9592,0.47,0.049,0.3196,0.1126,0.4019,0.9459,0.35
2026-07-28_11-08-02,A — Conf only,1.0,0.0,0.0,0.9206,0.9775,0.87,0.089,0.8692,0.2836,1.0,1.0,0.37
2026-07-28_11-08-02,B — Conf + SHAP,0.55,0.45,0.0,0.9149,0.9773,0.86,0.088,0.3919,0.1354,0.4005,0.9459,0.35
2026-07-28_11-08-02,C — Conf + Agreement,0.6,0.0,0.4,0.9206,0.9775,0.87,0.089,0.535,0.1778,0.2678,0.973,0.36
2026-07-28_11-08-02,D — Full RRS,0.45,0.4,0.15,0.6309,0.9592,0.47,0.049,0.3196,0.1126,0.4019,0.9459,0.35
2026-07-28_11-13-11,A — Conf only,1.0,0.0,0.0,0.9263,0.9778,0.88,0.09,0.8708,0.2843,1.0,1.0,0.45
2026-07-28_11-13-11,B — Conf + SHAP,0.55,0.45,0.0,0.9206,0.9775,0.87,0.089,0.3928,0.1358,0.4286,0.9556,0.43
2026-07-28_11-13-11,C — Conf + Agreement,0.6,0.0,0.4,0.9206,0.9775,0.87,0.089,0.536,0.1781,0.3144,0.9556,0.43
2026-07-28_11-13-11,D — Full RRS,0.45,0.4,0.15,0.6309,0.9592,0.47,0.049,0.3204,0.1128,0.4319,0.9556,0.43
